name,crust,size,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,energy_kcal_rda,fat_rda,sat_rda,carb_rda,sugars_rda,fibre_rda,protein_rda,salt_rda,sodium_rda
Ranch BBQ,Classic Crust,Medium,328,1377,13.1,5.7,34.9,10.9,1.8,16.7,1.64,0.64,661,2777,26.5,11.4,70.5,21.9,3.6,33.7,3.3,1.3,0.33,0.38,0.57,0.27,0.24,0.12,0.67,0.55,0.54
Ranch BBQ,Classic Crust,Small,329,1379,14.1,5.7,35.1,10.7,1.4,14.7,1.9,0.75,1128,4734,48.3,19.7,120.6,36.9,4.7,50.6,6.51,2.56,0.56,0.69,0.98,0.46,0.41,0.16,1.01,1.08,1.07
Ranch BBQ,Classic Crust,Personal,350,1470,12.6,4.9,42.7,11.4,1.7,15.5,1.9,0.75,680,2861,24.5,9.5,83.2,22.2,3.4,30.2,3.7,1.45,0.34,0.35,0.48,0.32,0.25,0.11,0.6,0.62,0.6
Ranch BBQ,Italian Style Crust,Large,323,1356,13,5.3,37.1,13.8,1.8,13.5,1.97,0.77,633,2658,25.5,10.4,72.8,27.1,3.4,26.5,3.86,1.52,0.32,0.36,0.52,0.28,0.3,0.11,0.53,0.64,0.63
Ranch BBQ,Italian Style Crust,Medium,317,1333,12.8,5.3,36.4,14.3,2.2,13.1,2.02,0.79,677,2844,27.4,11.3,77.7,30.5,4.7,27.9,4.3,1.69,0.34,0.39,0.57,0.3,0.34,0.16,0.56,0.72,0.7
Ranch BBQ,Italian Style Crust,Small,310,1296,13.8,5.9,30.7,11.3,1.6,15.1,1.89,0.75,982,4104,43.8,18.6,97.1,35.9,5.2,47.9,6,2.36,0.49,0.63,0.93,0.37,0.4,0.17,0.96,1,0.98
Ranch BBQ,Stuffed Crust,Large,313,1316,13.4,6.3,29.9,9.1,2.4,17.3,1.89,0.74,848,3562,36.3,17.1,80.9,24.8,6.4,46.7,5.12,2.01,0.42,0.52,0.86,0.31,0.28,0.21,0.93,0.85,0.84
Ranch BBQ,Stuffed Crust,Medium,310,1301,13.2,5.9,29.7,9.8,3.6,16.5,1.73,0.68,773,3241,32.8,14.8,73.9,24.4,9.1,41.2,4.31,1.7,0.39,0.47,0.74,0.28,0.27,0.3,0.82,0.72,0.71
Ranch BBQ,Thin & Crispy Crust,Large,337,1413,15.8,6.4,30,12.4,2.7,17.6,1.99,0.78,564,2367,26.4,10.7,50.3,20.8,4.5,29.4,3.33,1.31,0.28,0.38,0.53,0.19,0.23,0.15,0.59,0.56,0.55
Ranch BBQ,Thin & Crispy Crust,Medium,345,1445,16.4,6.6,32.9,12.3,2.7,15.2,2.07,0.81,513,2149,24.3,9.8,48.9,18.3,4.1,22.6,3.08,1.21,0.26,0.35,0.49,0.19,0.2,0.14,0.45,0.51,0.5
Scrummy,Classic Crust,Large,295,1238,13.1,5.3,28.9,5.6,1.8,14.6,1.74,0.69,728,3058,32.3,13.2,71.3,13.9,4.3,36.2,4.31,1.69,0.36,0.46,0.66,0.27,0.15,0.14,0.72,0.72,0.7
Scrummy,Classic Crust,Medium,305,1276,14,5.8,29.8,5.6,1.9,13.8,1.76,0.69,662,2773,30.5,12.6,64.7,12.2,4.2,30,3.81,1.5,0.33,0.44,0.63,0.25,0.14,0.14,0.6,0.64,0.62
Scrummy,Classic Crust,Small,275,1149,12.3,5.1,25.9,3.4,2,14.2,1.58,0.62,1225,5115,54.9,22.7,115.4,15.3,9,63.1,7.05,2.77,0.61,0.78,1.14,0.44,0.17,0.3,1.26,1.18,1.15
Scrummy,Classic Crust,Personal,327,1374,14,5.4,36.2,5.1,1.8,13.3,1.89,0.74,737,3095,31.5,12.2,81.6,11.4,4,29.8,4.25,1.67,0.37,0.45,0.61,0.31,0.13,0.13,0.6,0.71,0.7
Scrummy,Italian Style Crust,Large,296,1239,14.5,5.9,23.8,6.2,1.8,16.7,1.86,0.73,619,2591,30.2,12.3,49.8,13.1,3.8,35,3.89,1.53,0.31,0.43,0.62,0.19,0.15,0.13,0.7,0.65,0.64
Scrummy,Italian Style Crust,Medium,297,1244,14.8,6,24,5.9,1.9,16,1.91,0.75,553,2314,27.5,11.1,44.7,10.9,3.6,29.8,3.55,1.39,0.28,0.39,0.55,0.17,0.12,0.12,0.6,0.59,0.58
Scrummy,Italian Style Crust,Small,315,1318,15.3,6.3,28.5,3,1.7,15,1.95,0.77,1095,4589,53.3,22,99.3,10.3,5.8,52.1,6.8,2.67,0.55,0.76,1.1,0.38,0.11,0.19,1.04,1.13,1.11
Scrummy,Stuffed Crust,Large,273,1144,12.8,5.8,24.5,5.9,3.6,13.2,1.6,0.63,775,3244,36.4,16.4,69.4,16.8,10.1,37.5,4.55,1.79,0.39,0.52,0.82,0.27,0.19,0.34,0.75,0.76,0.75
Scrummy,Stuffed Crust,Medium,284,1187,13.8,6,25.7,6,3.5,12.4,1.66,0.65,750,3141,36.7,15.8,67.9,15.9,9.2,32.7,4.4,1.73,0.38,0.52,0.79,0.26,0.18,0.31,0.65,0.73,0.72
